object,ra,dec,program_id
SM2,355.833662,-56.445439,GS-2025B-Q-324
targ-10,90.059679,-65.899353,GS-2026A-Q-133
targ-37,25.150346,-66.339317,GS-2026A-Q-133
targ-39,23.657971,-68.353714,GS-2026A-Q-133
targ-40,22.241617,-72.723856,GS-2026A-Q-133
targ-41,22.210629,-73.426322,GS-2026A-Q-133
targ-42,15.825887,-70.125189,GS-2026A-Q-133
targ-43,14.582662,-57.680692,GS-2026A-Q-133
targ-44,9.670458,-51.694281,GS-2026A-Q-133
targ-45,355.215867,-56.353453,GS-2026A-Q-133
targ-46,346.005438,-61.231828,GS-2026A-Q-133
targ-47,342.616954,-61.178292,GS-2026A-Q-133
targ-48,340.462042,-57.999672,GS-2026A-Q-133
targ-49,337.322533,-57.122486,GS-2026A-Q-133
targ-50,333.004421,6.511519,GS-2026A-Q-133
targ-51,314.822400,-60.503933,GS-2026A-Q-133
targ-52,313.718087,-52.613944,GS-2026A-Q-133
targ-56,291.715883,-64.152992,GS-2026A-Q-133
targ-57,286.121804,-57.034967,GS-2026A-Q-133
targ-60,229.406467,-21.775633,GS-2026A-Q-133
targ-61,189.837975,-41.461117,GS-2026A-Q-133
targ-62,189.798154,-26.795425,GS-2026A-Q-133
targ-63,189.061071,-26.945189,GS-2026A-Q-133
targ-74,108.295679,-67.959011,GS-2026A-Q-133
targ-85,209.658375,-43.966506,GS-2026A-Q-133
targ-86,189.739250,-41.616292,GS-2026A-Q-133
targ-87,250.221042,-3.237442,GS-2026A-Q-133
targ-88,202.019750,-47.549969,GS-2026A-Q-133
targ-89,251.933958,-2.748375,GS-2026A-Q-133
targ-90,186.710417,-72.585319,GS-2026A-Q-133
targ-91,187.027458,-72.691961,GS-2026A-Q-133
targ-92,186.709250,-72.644597,GS-2026A-Q-133
targ-93,201.707042,-46.022028,GS-2026A-Q-133
targ-94,201.954958,-47.407525,GS-2026A-Q-133
targ-95,254.185379,-0.105444,GS-2026A-Q-133
targ-96,253.912000,0.567072,GS-2026A-Q-133
targ-97,186.705792,-72.968703,GS-2026A-Q-133
targ-98,201.805958,-47.241672,GS-2026A-Q-133
MAGIC-1,116.682458,-67.486014,GS-2026A-FT-201
MAGIC-2,293.051583,-58.459778,GS-2026A-FT-201
MAGIC-3,177.576208,-16.691722,GS-2026A-FT-201
MAGIC-4,88.351808,-64.214847,GS-2026A-FT-201
MAGIC-5,309.643575,-58.759772,GS-2026A-FT-201
