name,ra,dec,category,detail,instrument
SM2,355.833662,-56.445439,Gemini,GS-2025B-Q-324,GMOS
targ-10,90.059679,-65.899353,Gemini,GS-2026A-Q-133,GMOS
targ-37,25.150346,-66.339317,Gemini,GS-2026A-Q-133,GMOS
targ-39,23.657971,-68.353714,Gemini,GS-2026A-Q-133,GMOS
targ-40,22.241617,-72.723856,Gemini,GS-2026A-Q-133,GMOS
targ-41,22.210629,-73.426322,Gemini,GS-2026A-Q-133,GMOS
targ-42,15.825887,-70.125189,Gemini,GS-2026A-Q-133,GMOS
targ-43,14.582662,-57.680692,Gemini,GS-2026A-Q-133,GMOS
targ-44,9.670458,-51.694281,Gemini,GS-2026A-Q-133,GMOS
targ-45,355.215867,-56.353453,Gemini,GS-2026A-Q-133,GMOS
targ-46,346.005438,-61.231828,Gemini,GS-2026A-Q-133,GMOS
targ-47,342.616954,-61.178292,Gemini,GS-2026A-Q-133,GMOS
targ-48,340.462042,-57.999672,Gemini,GS-2026A-Q-133,GMOS
targ-49,337.322533,-57.122486,Gemini,GS-2026A-Q-133,GMOS
targ-50,333.004421,6.511519,Gemini,GS-2026A-Q-133,GMOS
targ-51,314.822400,-60.503933,Gemini,GS-2026A-Q-133,GMOS
targ-52,313.718087,-52.613944,Gemini,GS-2026A-Q-133,GMOS
targ-56,291.715883,-64.152992,Gemini,GS-2026A-Q-133,GMOS
targ-57,286.121804,-57.034967,Gemini,GS-2026A-Q-133,GMOS
targ-60,229.406467,-21.775633,Gemini,GS-2026A-Q-133,GMOS
targ-61,189.837975,-41.461117,Gemini,GS-2026A-Q-133,GMOS
targ-62,189.798154,-26.795425,Gemini,GS-2026A-Q-133,GMOS
targ-63,189.061071,-26.945189,Gemini,GS-2026A-Q-133,GMOS
targ-74,108.295679,-67.959011,Gemini,GS-2026A-Q-133,GMOS
targ-85,209.658375,-43.966506,Gemini,GS-2026A-Q-133,GMOS
targ-86,189.739250,-41.616292,Gemini,GS-2026A-Q-133,GMOS
targ-87,250.221042,-3.237442,Gemini,GS-2026A-Q-133,GMOS
targ-88,202.019750,-47.549969,Gemini,GS-2026A-Q-133,GMOS
targ-89,251.933958,-2.748375,Gemini,GS-2026A-Q-133,GMOS
targ-90,186.710417,-72.585319,Gemini,GS-2026A-Q-133,GMOS
targ-91,187.027458,-72.691961,Gemini,GS-2026A-Q-133,GMOS
targ-92,186.709250,-72.644597,Gemini,GS-2026A-Q-133,GMOS
targ-93,201.707042,-46.022028,Gemini,GS-2026A-Q-133,GMOS
targ-94,201.954958,-47.407525,Gemini,GS-2026A-Q-133,GMOS
targ-95,254.185379,-0.105444,Gemini,GS-2026A-Q-133,GMOS
targ-96,253.912000,0.567072,Gemini,GS-2026A-Q-133,GMOS
targ-97,186.705792,-72.968703,Gemini,GS-2026A-Q-133,GMOS
targ-98,201.805958,-47.241672,Gemini,GS-2026A-Q-133,GMOS
MAGIC-1,116.682458,-67.486014,Gemini,GS-2026A-FT-201,GHOST
MAGIC-2,293.051583,-58.459778,Gemini,GS-2026A-FT-201,GHOST
MAGIC-3,177.576208,-16.691722,Gemini,GS-2026A-FT-201,GHOST
MAGIC-4,88.351808,-64.214847,Gemini,GS-2026A-FT-201,GHOST
MAGIC-5,309.643575,-58.759772,Gemini,GS-2026A-FT-201,GHOST
