name,ra,dec,category,detail,instrument
carina_157,99.8908570532715,-50.868015967123256,MAGIC_Magellan,231205_MagE,MagE
carina_159,100.49460927708023,-51.11115546953616,MAGIC_Magellan,231205_MagE,MagE
carina_161,99.01703978947813,-51.05155487841221,MAGIC_Magellan,231205_MagE,MagE
carina_165,101.49425996592346,-50.959766763362595,MAGIC_Magellan,231205_MagE,MagE
magic_103,346.13612993216435,-51.38353281833439,MAGIC_Magellan,231205_MagE,MagE
magic_104,346.44831605256473,-50.6015292179423,MAGIC_Magellan,231205_MagE,MagE
magic_106,347.8543578094512,-54.064449035335315,MAGIC_Magellan,231205_MagE,MagE
magic_108,349.94521499629866,-55.29090176275267,MAGIC_Magellan,231205_MagE,MagE
magic_111,351.0753308454706,-51.68436752493097,MAGIC_Magellan,231205_MagE,MagE
magic_115,354.1947299116779,-54.00613882771434,MAGIC_Magellan,231205_MagE,MagE
magic_116,354.73022393860884,-55.11665171522118,MAGIC_Magellan,231205_MagE,MagE
magic_117,354.7941690004917,-55.251937764783214,MAGIC_Magellan,231205_MagE,MagE
magic_122,357.783928364707,-56.08045915557514,MAGIC_Magellan,231205_MagE,MagE
magic_131,5.507756747767044,-57.14240534216203,MAGIC_Magellan,231205_MagE,MagE
magic_132,5.58309847420261,-53.548831302737604,MAGIC_Magellan,231205_MagE,MagE
magic_133,6.513186820843714,-54.75008805998293,MAGIC_Magellan,231205_MagE,MagE
magic_139,10.535245132429825,-53.56027443843652,MAGIC_Magellan,231205_MagE,MagE
magic_147,138.85699975947648,-65.79590746390036,MAGIC_Magellan,231205_MagE,MagE
magic_149,154.00471046759287,0.192486741976387,MAGIC_Magellan,231205_MagE,MagE
magic_166,319.03015869163903,-54.05266445162359,MAGIC_Magellan,231205_MagE,MagE
magic_172,14.292485175379474,-33.476570631475624,MAGIC_Magellan,231205_MagE,MagE
magic_173,15.004751054117385,-33.98924942644703,MAGIC_Magellan,231205_MagE,MagE
magic_31,310.8513175399979,-59.55087101634861,MAGIC_Magellan,231205_MagE,MagE
magic_47,315.1217451249128,-52.03851938691385,MAGIC_Magellan,231205_MagE,MagE
magic_59,319.39860655486524,-53.960586908567485,MAGIC_Magellan,231205_MagE,MagE
magic_65,321.26647470550955,-60.04328426814227,MAGIC_Magellan,231205_MagE,MagE
magic_66,321.4924912444937,-51.16586003556824,MAGIC_Magellan,231205_MagE,MagE
